State,County,FIPS_code,count,avg_site_score,sum_site_score
CA,Santa Clara,6085.0,23.0,34.124347826086954,784.86
CA,Los Angeles,6037.0,17.0,41.48823529411764,705.3
MA,Middlesex,25017.0,13.0,53.22615384615385,691.94
PA,Montgomery,42091.0,16.0,42.944375,687.11
NJ,Middlesex,34023.0,14.0,47.424285714285716,663.94
NY,Nassau,36059.0,14.0,43.13142857142857,603.84
TX,Harris,48201.0,12.0,48.199999999999996,578.4
WA,King,53033.0,10.0,49.711,497.11
NJ,Camden,34007.0,10.0,48.489,484.89
FL,Hillsborough,12057.0,10.0,46.798,467.98
NJ,Monmouth,34025.0,10.0,46.065999999999995,460.65999999999997
PA,Berks,42011.0,11.0,40.46909090909091,445.16
NJ,Gloucester,34015.0,8.0,55.23,441.84
NY,Suffolk,36103.0,10.0,42.797000000000004,427.97
NJ,Burlington,34005.0,11.0,38.36272727272728,421.99
PA,Bucks,42017.0,9.0,43.27111111111111,389.44
NJ,Morris,34027.0,9.0,42.68111111111111,384.13
PA,Chester,42029.0,10.0,38.227,382.27
NH,Rockingham,33015.0,8.0,47.26625,378.13
NJ,Bergen,34003.0,8.0,46.06625,368.53
DE,New Castle,10003.0,9.0,39.79222222222222,358.13
NJ,Essex,34013.0,8.0,44.7475,357.98
WA,Kitsap,53035.0,8.0,44.06,352.48
WA,Spokane,53063.0,9.0,38.27666666666667,344.49
MI,Muskegon,26121.0,8.0,42.745,341.96
RI,Providence,44007.0,7.0,48.53857142857142,339.77
MI,Kent,26081.0,8.0,39.0,312.0
IN,Lake,18089.0,8.0,38.5525,308.42
TN,Shelby,47157.0,6.0,49.333333333333336,296.0
FL,Duval,12031.0,6.0,46.71666666666666,280.29999999999995
IN,Elkhart,18039.0,6.0,44.595,267.57
MA,Bristol,25005.0,6.0,44.413333333333334,266.48
NJ,Ocean,34029.0,5.0,52.036,260.18
MO,Washington,29221.0,4.0,63.405,253.62
OH,Montgomery,39113.0,6.0,41.96666666666667,251.8
FL,Miami-Dade,12086.0,6.0,41.89666666666667,251.38
NJ,Somerset,34035.0,6.0,40.93333333333333,245.6
NJ,Atlantic,34001.0,6.0,40.846666666666664,245.07999999999998
WA,Pierce,53053.0,6.0,40.27166666666667,241.63
UT,Salt Lake,49035.0,5.0,44.948,224.74
CA,Fresno,6019.0,5.0,44.87,224.35
IL,Winnebago,17201.0,5.0,43.644,218.22
NY,Dutchess,36027.0,5.0,43.364,216.82
FL,Broward,12011.0,5.0,43.272000000000006,216.36
OH,Miami,39109.0,4.0,53.9975,215.99
MN,Anoka,27003.0,5.0,42.629999999999995,213.14999999999998
VT,Bennington,50003.0,4.0,52.49,209.96
AZ,Maricopa,4013.0,5.0,41.94,209.7
MA,Norfolk,25021.0,4.0,52.065,208.26
NJ,Cumberland,34011.0,4.0,51.47,205.88
UT,Davis,49011.0,4.0,49.985,199.94
CA,San Bernardino,6071.0,5.0,39.354,196.76999999999998
FL,Escambia,12033.0,4.0,48.9475,195.79
MI,Macomb,26099.0,4.0,48.730000000000004,194.92000000000002
NH,Strafford,33017.0,4.0,48.4075,193.63
IL,Lake,17097.0,5.0,37.606,188.03
NH,Hillsborough,33011.0,5.0,37.410000000000004,187.05
WA,Clark,53011.0,4.0,46.6075,186.43
CA,Sacramento,6067.0,4.0,46.480000000000004,185.92000000000002
CA,San Joaquin,6077.0,4.0,46.46,185.84
MI,Kalamazoo,26077.0,5.0,37.042,185.21
MA,Essex,25009.0,4.0,45.4,181.6
WA,Benton,53005.0,3.0,60.22,180.66
CT,New Haven,9009.0,4.0,44.905,179.62
NY,Broome,36007.0,5.0,35.714,178.57
NC,Gaston,37071.0,4.0,43.875,175.5
MD,Cecil,24015.0,4.0,43.6625,174.65
VA,Portsmouth city,51740.0,4.0,43.0475,172.19
WI,Dane,55025.0,5.0,34.402,172.01
WI,Waukesha,55133.0,4.0,42.7475,170.99
HI,Honolulu,15003.0,3.0,56.94,170.82
OR,Multnomah,41051.0,3.0,56.90333333333333,170.70999999999998
PA,Adams,42001.0,4.0,41.1325,164.53
UT,Tooele,49045.0,3.0,54.376666666666665,163.13
MN,Ramsey,27123.0,3.0,54.18,162.54
SC,Beaufort,45013.0,3.0,51.86666666666667,155.6
ME,Cumberland,23005.0,3.0,51.449999999999996,154.35
MT,Cascade,30013.0,3.0,51.419999999999995,154.26
MN,Hennepin,27053.0,4.0,38.415,153.66
NJ,Hudson,34017.0,4.0,38.04,152.16
NE,Hall,31079.0,3.0,50.376666666666665,151.13
MD,Prince George's,24033.0,3.0,50.050000000000004,150.15
MO,Newton,29145.0,3.0,50.0,150.0
VT,Orange,50017.0,3.0,50.0,150.0
PA,Mercer,42085.0,3.0,48.64333333333334,145.93
PA,Allegheny,42003.0,3.0,47.95333333333334,143.86
OH,Ashtabula,39007.0,4.0,35.715,142.86
PA,Lehigh,42077.0,3.0,47.51333333333333,142.54
CA,Alameda,6001.0,3.0,47.413333333333334,142.24
NE,Adams,31001.0,3.0,47.413333333333334,142.24
IL,LaSalle,17099.0,3.0,47.35333333333333,142.06
NC,Wake,37183.0,3.0,46.75,140.25
PA,Delaware,42045.0,3.0,46.11333333333334,138.34
PA,Luzerne,42079.0,3.0,45.53,136.59
NC,Moore,37125.0,3.0,45.24,135.72
